Title,Type,genres,releaseYear,Imbid,imbdAverageRating,imbdNumVotes,availableCountries
Copycat,movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,67833,JP
The Cider House Rules,movie,"Drama, Romance",1999,tt0124315,7.4,106019,JP
Jesus Camp,movie,Documentary,2006,tt0486358,7.4,28967,US
The Piano Teacher,movie,"Drama, Music",2001,tt0254686,7.5,73950,JP
Transformers,movie,"Action, Adventure, Sci-Fi",2007,tt0418279,7.1,685554,JP
Sunflower,movie,"Drama, War",1970,tt0065782,7.3,4669,JP
Pirates of the Caribbean: On Stranger Tides,movie,"Action, Adventure, Fantasy",2011,tt1298650,6.6,574595,US
The Beach,movie,"Adventure, Drama, Romance",2000,tt0163978,6.6,257549,US
The Bow,movie,"Drama, Romance",2005,tt0456470,7.1,11922,JP
Bandidas,movie,"Action, Comedy, Crime",2006,tt0416496,5.7,37749,US
Death Proof,movie,"Action, Drama, Thriller",2007,tt1028528,7,319281,JP
Planet Terror,movie,"Action, Comedy, Horror",2007,tt1077258,7,226134,JP
Sister Act,movie,"Comedy, Family, Music",1992,tt0105417,6.5,111126,JP
The Mourning Forest,movie,Drama,2007,tt1016205,6.7,2940,JP
The Wedding Planner,movie,"Comedy, Romance",2001,tt0209475,5.3,88240,US
Hostage,movie,"Action, Crime, Drama",2005,tt0340163,6.5,114147,JP
Training Day,movie,"Crime, Drama, Thriller",2001,tt0139654,7.8,483727,JP
The Lake House,movie,"Drama, Fantasy, Romance",2006,tt0410297,6.8,159595,JP
The Getaway,movie,"Action, Adventure, Crime",1994,tt0109890,5.8,20120,US
Gappa the Triphibian Monster,movie,"Action, Adventure, Comedy",1967,tt0061550,4.4,1785,JP
L.A. Confidential,movie,"Crime, Drama, Mystery",1997,tt0119488,8.2,629803,JP
The Perfect Storm,movie,"Action, Adventure, Drama",2000,tt0177971,6.5,181170,JP
Cop Land,movie,"Crime, Drama, Thriller",1997,tt0118887,7,108920,JP
Big,movie,"Comedy, Drama, Fantasy",1988,tt0094737,7.3,245147,US
Beowulf,movie,"Action, Adventure, Animation",2007,tt0442933,6.3,175803,JP
Executive Decision,movie,"Action, Adventure, Thriller",1996,tt0116253,6.5,62440,JP
Taxi,movie,"Action, Comedy, Crime",1998,tt0152930,7,91075,JP
Taxi 4,movie,"Action, Comedy, Crime",2007,tt0804540,5.6,31311,JP
10 Items or Less,movie,"Comedy, Drama",2006,tt0499603,6.5,16447,JP
The Young Girls of Rochefort,movie,"Comedy, Drama, Musical",1967,tt0062873,7.7,12442,JP
Joint Security Area,movie,"Action, Drama, Thriller",2000,tt0260991,7.7,35180,JP
Eragon,movie,"Action, Adventure, Family",2006,tt0449010,5.1,131541,US
The Princess Bride,movie,"Adventure, Comedy, Family",1987,tt0093779,8,458278,US
The Bourne Identity,movie,"Action, Mystery, Thriller",2002,tt0258463,7.8,585792,JP
The Bourne Supremacy,movie,"Action, Mystery, Thriller",2004,tt0372183,7.7,493608,JP
The Bourne Ultimatum,movie,"Action, Mystery, Thriller",2007,tt0440963,8,665046,JP
The Specialist,movie,"Action, Drama, Thriller",1994,tt0111255,5.6,70773,JP
The Blair Witch Project,movie,"Horror, Mystery",1999,tt0185937,6.5,295061,JP
Sleepy Hollow,movie,"Fantasy, Horror, Mystery",1999,tt0162661,7.3,392649,JP
Ringu,movie,"Horror, Mystery",1998,tt0178868,7.2,79924,JP
Signs,movie,"Drama, Mystery, Sci-Fi",2002,tt0286106,6.8,395039,US
The Abyss,movie,"Adventure, Drama, Mystery",1989,tt0096754,7.5,197782,US
