Title,Type,genres,releaseYear,Imbid,imbdAverageRating,imbdNumVotes,availableCountries
JoJo's Bizarre Adventure: Diamond Is Unbreakable - Chapter 1,movie,"Action, Adventure, Fantasy",2017,tt6105880,5.8,1992,JP
Birthday Card,movie,"Drama, Romance",2016,tt4842932,7,161,JP
The Irregular at Magic High School: The Girl Who Calls the Stars,movie,"Action, Animation, Fantasy",2017,tt6580380,6.7,850,JP
Luis and the Aliens,movie,"Adventure, Animation, Comedy",2018,tt4410000,6,3014,US
Promise at Dawn,movie,"Biography, Drama, Romance",2017,tt5061360,7.1,3967,JP
The Ghost Photo Club,movie,Horror,2015,tt4723754,5,24,JP
Doubutsu Sentai Zyuohger the Movie: The Heart Pounding Circus Panic,movie,"Action, Short",2016,tt5809742,7.2,25,JP
Last Cop: The Movie,movie,Action,2017,tt6105934,4.6,29,JP
Tokusou Sentai Dekaranger: 10 Years After,movie,"Action, Sci-Fi",2015,tt4688160,7.5,64,JP
Fairy Tail: Dragon Cry,movie,"Action, Adventure, Animation",2017,tt6548966,6.9,2586,JP
Doubutsu Sentai Zyuohger vs. Ninninger the Movie: Message from the Future from Super Sentai,movie,Action,2017,tt6342418,6.8,45,JP
Ultraman Orb: Lend Me the Power of Bonds!,movie,"Action, Family, Sci-Fi",2017,tt6344302,6.6,135,JP
Papillon,movie,"Adventure, Biography, Crime",2017,tt5093026,7.2,88994,JP
Shudan-sasen,movie,"Comedy, Drama, Thriller",1994,tt0350122,6.7,17,JP
Corpse Party: Book of Shadows,movie,Horror,2016,tt5641606,4.2,141,JP
Kamen Rider Hibiki & the Seven Fighting Demons,movie,"Action, Fantasy",2005,tt1492850,6.7,109,JP
Kamen Rider × Super Sentai: Ultra Super Hero Wars,movie,"Action, Adventure, Science Fiction",2017,,,,JP
Kamen Rider Heisei Generations: Dr. Pac-Man vs. Ex-Aid & Ghost with Legend Rider,movie,"Action, Adventure, Fantasy",2016,tt6306178,7.2,135,JP
March Comes in Like a Lion,movie,"Drama, Sport",2017,tt5514632,6.6,388,JP
Dave Made a Maze,movie,"Adventure, Comedy, Fantasy",2017,tt4457344,6.3,9444,JP
Tokyo Ghoul,movie,"Action, Drama, Fantasy",2017,tt5815944,5.7,3964,JP
Step Up Love Story: Second Kiss,movie,"Comedy, Romance",2011,tt2134058,6,29,JP
Double Mints,movie,"Crime, Drama, Romance",2017,tt6488382,5.7,277,JP
Space Squad: Gavan vs. Dekaranger,movie,"Action, Adventure, Comedy",2017,tt6195584,7.5,102,JP
1/11,movie,Drama,2014,tt3569968,6.5,8,JP
25,movie,"Action, Crime",2014,tt3889092,5.3,17,JP
Taxi 5,movie,"Action, Comedy, Crime",2018,tt7238392,4.6,11119,JP
All About My Dog,movie,"Drama, Family",2005,tt0475974,6.9,202,JP
Early Spring Story,movie,"Drama, Romance",1985,tt0134975,6.5,79,JP
Possessor,movie,"Horror, Mystery, Sci-Fi",2020,tt5918982,6.5,48601,JP
Journey to the West: The Demons Strike Back,movie,"Adventure, Comedy, Fantasy",2017,tt5273624,5.4,3692,JP
About Love,movie,"Drama, Romance, Thriller",2017,tt5091108,5.1,620,JP
Kah-chan,movie,Comedy,2001,tt0314247,7.3,46,JP
Cutie Honey: Tears,movie,"Action, Sci-Fi",2016,tt5520970,4.9,302,JP
Kamen Rider Ghost: The 100 Eyecons and Ghost's Fateful Moment,movie,"Action, Adventure, Fantasy",2016,tt5811926,6.6,47,JP
Mr. Long,movie,"Action, Crime, Drama",2017,tt6509862,7,1715,JP
High & Low: The Movie,movie,Action,2016,tt5659172,6.4,850,JP
The Field Guide to Evil,movie,Horror,2018,tt6688354,4.8,2565,US
Soreike! Anpanman: Gomira no hoshi,movie,"Adventure, Animation, Family",2001,tt15864378,,,JP
Kamen Rider Drive Saga: Kamen Rider Mach and Heart,movie,"Action, Fantasy, Sci-Fi",2016,tt10427992,7.7,26,JP
Neko Atsume House,movie,Family,2017,tt6227846,5.6,168,JP
A Taxi Driver,movie,"Action, Drama, History",2017,tt6878038,7.9,33193,JP
The Mayor,movie,Drama,2017,tt6150238,6.3,487,JP
Heart Blackened,movie,"Crime, Drama, Mystery",2017,tt7609180,6.6,1119,JP
1987: When the Day Comes,movie,"Drama, History, Thriller",2017,tt6493286,7.8,7107,JP
A Homance,movie,"Action, Drama",1986,tt0122880,5.8,71,JP
Hana no asuka gumi!,movie,Action,1988,tt2511904,5.5,41,JP
Have a Nice Day,movie,"Animation, Comedy, Crime",2017,tt6451304,6.5,2266,JP
The First Omen,movie,Horror,2024,tt5672290,6.5,56575,US
"Someday, Someone Will Be Killed",movie,"Comedy, Drama, Mystery",1984,tt0329231,5.2,41,JP
Kamen Rider Ghost Re: Birth: Kamen Rider Specter,movie,"Action, Fantasy",2017,tt7108568,7,28,JP
Gokudô sensô: Butôha,movie,,1991,tt0327791,6.8,12,JP
The Monkey King 3,movie,"Action, Adventure, Family",2018,tt6466464,5.5,1824,JP
November,movie,"Drama, Fantasy, Horror",2017,tt6164502,7.1,6350,JP
Mid90s,movie,"Comedy, Drama",2018,tt5613484,7.4,80557,JP
Hyouka: Forbidden Secrets,movie,"Drama, Mystery",2017,tt5573852,5.7,264,JP
Soreike! Anpanman: Shabondama No Purun,movie,"Adventure, Animation, Family",2007,tt6419522,,,JP
Soreike! Anpanman: Hapî no Daibôken,movie,"Adventure, Animation, Family",2005,tt15684228,5.8,7,JP
Soreike! Anpanman: Tobe! Tobe! Chibigon,movie,"Adventure, Animation, Family",1991,tt1189084,,,JP
Soreike! Anpanman: Kirakiraboshi no namida,movie,"Adventure, Animation, Family",1989,tt1189081,5.8,14,JP
"52Hz, I Love You",movie,"Comedy, Musical, Romance",2017,tt6327400,6.2,523,JP
"Run, Truck Rascal, Run!",movie,"Action, Adventure, Comedy",1979,tt0360087,6.2,34,JP
Tokyo Night Sky Is Always the Densest Shade of Blue,movie,Drama,2017,tt5931802,6.5,842,JP
Step Up Love Story: Triple Love and Love Forever,movie,"Comedy, Romance",2012,tt2560094,6.3,26,JP
The Archer,movie,"Drama, Thriller",2016,tt5806646,5.3,974,JP
Becoming Bond,movie,"Biography, Comedy, Documentary",2017,tt6110504,7.5,3325,US
Laughing Under the Clouds: Gaiden Part 1 & 2,movie,"Action, Drama, Horror",2018,tt5769440,5,120,JP
Nirvana Island: The Last 47 Days,movie,"Action, Comedy, Fantasy",2016,tt5238370,5.3,79,JP
Peach Girl,movie,"Comedy, Romance",2017,tt5593416,5.9,674,JP
Keys to the Heart,movie,"Comedy, Drama, Family",2018,tt6985200,7.5,1509,JP
Summer 1993,movie,"Drama, Family",2017,tt5897636,7.1,8623,JP
Closest Love to Heaven,movie,"Comedy, Romance",2017,tt5874398,6.4,793,JP
Cold Pursuit,movie,"Action, Comedy, Crime",2019,tt5719748,6.2,79654,JP
Policeman and Me,movie,"Comedy, Romance",2017,tt5701132,5.3,319,JP
March Comes in Like a Lion 2,movie,Drama,2017,tt5556068,6.8,275,JP
Dragged Across Concrete,movie,"Action, Crime, Drama",2018,tt6491178,6.9,57279,JP
Kamen Rider Gaim Gaiden: Kamen Rider Duke and Knuckle,movie,"Action, Fantasy",2015,tt11242784,7.6,31,JP
The Prison,movie,"Action, Crime",2017,tt6589464,6.5,2235,JP
Zentai,movie,Comedy,2013,tt3864910,6.2,23,JP
Sharknado 5: Global Swarming,movie,"Action, Adventure, Comedy",2017,tt6298780,3.9,7126,JP
The Nun,movie,"Horror, Mystery, Thriller",2018,tt5814060,5.3,176861,JP
Mangetsu: Mr. Moonlight,movie,"Comedy, Fantasy, Romance",1991,tt0142645,5.5,8,JP
Natsumi's Firefly,movie,Drama,2016,tt5280018,5.8,83,JP
Bikuu: The Movie,movie,"Action, Drama, Fantasy",2015,tt4829150,6.7,32,JP
Kamen Rider X: Five Riders vs. King Dark,movie,"Action, Adventure, Sci-Fi",1974,tt0156250,5.6,78,JP
Neko Taxi the Movie,movie,Drama,2010,tt1674191,5.1,8,JP
The Hole,movie,"Horror, Thriller",2007,tt1047872,6.6,40,JP
Parco Fiction,movie,Comedy,2002,tt0330747,5.6,17,JP
Doubutsu Sentai Zyuohger Returns: Life Theft! Champion of Earth Tournament,movie,"Science Fiction, Action, Adventure, Fantasy",2017,,,,JP
Hurricane Polymar,movie,Action,2017,tt6245308,6.3,51,JP
Seitokai Yakuindomo the Movie,movie,"Animation, Comedy",2017,tt6337252,6.7,150,JP
Devotion to Cinema,movie,Comedy,2016,tt5433194,5.7,29,JP
Senritsu Kaiki File Kowasugi File 01: Operation Capture the Slit-Mouthed Woman,movie,Horror,2012,tt6765662,6.2,202,JP
Kamen Rider vs. Ambassador Hell,movie,"Action, Adventure, Drama",1972,tt0156679,5.9,86,JP
Piece: Kioku no kakera,movie,"Action, Sci-Fi",2012,tt2178598,7.1,22,JP
Samurai Hustle Returns,movie,"Action, Comedy, History",2016,tt5068090,5.5,137,JP
Yamikin Dogs,movie,Comedy,2015,tt4820972,7.2,16,JP
Yamikin doggusu 2,movie,"Action, Crime, Thriller",2016,tt5614994,7.6,10,JP
Yamikin Dogs 4,movie,"Action, Crime, Drama",2016,tt6191150,,,JP
Stray Dogz 5,movie,Drama,2017,tt6191184,,,JP
Jinrou gêmu: Kureijî fokkusu,movie,Horror,2015,tt5462904,5.1,49,JP
Werewolf Game: Prison Break,movie,"Horror, Thriller",2016,tt5923124,5.5,98,JP
Werewolf Game: Lovers,movie,"Horror, Thriller",2018,tt6960734,5.7,137,JP
Our Meal for Tomorrow,movie,"Drama, Romance",2017,tt5259498,6.4,387,JP
Slavemen,movie,"Action, Comedy",2017,tt6235532,5.4,32,JP
Underwater,movie,"Action, Horror, Sci-Fi",2020,tt5774060,5.9,100713,US
Innocent Curse,movie,Horror,2017,tt5856116,4.3,241,JP
Radiance,movie,"Drama, Romance",2017,tt6165792,6.4,2034,JP
Penguin fûfu no tsukurikata,movie,Drama,2012,tt1693837,6.1,18,JP
No Game No Life: Zero,movie,"Adventure, Animation, Drama",2017,tt5914996,7.3,4734,JP
Tokyo Kid,movie,"Comedy, Drama, Musical",1950,tt0429185,6.3,20,JP
Acts of Vengeance,movie,"Action, Drama, Thriller",2017,tt6288694,5.7,13894,JP
Larceny,movie,"Action, Thriller",2017,tt4797160,3.5,1195,JP
Bacurau,movie,"Action, Adventure, Drama",2019,tt2762506,7.3,31429,JP
Before We Vanish,movie,"Drama, Sci-Fi",2017,tt5999530,6.2,2899,JP
Ex Libris,movie,Documentary,2017,tt6209282,7.4,1447,JP
All the Money in the World,movie,"Crime, Drama, History",2017,tt5294550,6.8,92504,JP
Fahim Anwar: There's No Business Like Show Business,movie,Comedy,2017,tt6254808,6.9,81,US
The Western Trunk Line,movie,Drama,2007,tt2098878,6.5,22,JP
Bitter Sweet,movie,"Comedy, Romance",2016,tt5099660,6,250,JP
Psychic Kusuo,movie,Comedy,2017,tt4773438,5.6,735,JP
My Uncle,movie,Comedy,2016,tt5242898,6.3,228,JP
The Blue Hearts,movie,"Drama, Musical, Sci-Fi",2017,tt6314472,5,43,JP
The Dark Maidens,movie,"Drama, Mystery",2017,tt6064378,6.2,269,JP
After Everything,movie,"Comedy, Drama, Romance",2018,tt6688022,6.4,2482,US
A Prayer Before Dawn,movie,"Action, Biography, Crime",2017,tt4080956,6.8,26745,JP
Kuroko's Basketball: Winter Cup Highlights -Beyond the Tears-,movie,"Animation, Comedy, Drama",2016,tt6779296,7.7,455,JP
Horror Mansion: The Blind,movie,Horror,2011,tt2535518,,,JP
Tori Girl!,movie,"Comedy, Family, Sport",2017,tt5791094,6.5,238,JP
A Beautiful Star,movie,"Drama, Family, Sci-Fi",2017,tt5512160,5.6,258,JP
Innocent 15,movie,Drama,2016,tt5884950,6,14,JP
Sanada 10 Braves,movie,"Action, Comedy",2016,tt5456436,5.1,132,JP
Sasheer Zamata: Pizza Mind,movie,Comedy,2017,tt6373616,5.9,127,US
Chasing the Dragon,movie,"Action, Biography, Crime",2017,tt6015328,6.7,4656,JP
The Invincible Dragon,movie,"Action, Adventure, Crime",2019,tt6329716,4.2,1594,JP
Master Z: The Ip Man Legacy,movie,"Action, Biography, Crime",2018,tt7262882,6.5,10087,JP
Free! Timeless Medley: The Bond,movie,"Animation, Sport",2017,tt6799508,6.9,240,JP
Memoirs of a Murderer,movie,"Action, Crime, Drama",2017,tt5882982,6.8,2260,JP
Otoko wa tsurai yo: Torajiro haibisukasu no hana tokubetsu-hen,movie,"Comedy, Drama",1997,tt10525540,6.5,36,JP
Gekijô ban Gegege no Kitarô: Nippon bakuretsu,movie,"Adventure, Animation, Drama",2008,tt1344107,5,25,JP
High & Low: The Red Rain,movie,"Action, Drama",2016,tt5923040,6.1,439,JP
GACHI-BAN: EXPENDED,movie,,2013,,,,JP
Custody,movie,"Drama, Thriller",2017,tt6002232,7.5,10541,JP
One Step,movie,Drama,2017,tt6871292,6.3,49,JP
I Think We're Alone Now,movie,"Drama, Mystery, Sci-Fi",2018,tt6169694,5.7,13114,JP
What a Wonderful Family,movie,Comedy,2017,tt5934564,7,789,JP
Paradox,movie,"Action, Adventure, Crime",2017,tt7245176,6.5,4433,JP
Guys Who Never Learn,movie,Comedy,1987,tt0326921,7,8,JP
Mukoku,movie,"Action, Adventure, Drama",2017,tt6103812,5.6,151,JP
Dumb: The Story of Big Brother Magazine,movie,Documentary,2017,tt6794450,7.4,658,US
Gemini Man,movie,"Action, Sci-Fi, Thriller",2019,tt1025100,5.7,125292,JP
Arctic,movie,"Adventure, Drama",2018,tt6820256,6.8,59376,JP
Tyrel,movie,"Comedy, Drama",2018,tt6729000,5.5,1595,US
"Fine, with Occasional Murders",movie,"Comedy, Mystery",1984,tt0216798,5.1,41,JP
UglyDolls,movie,"Adventure, Animation, Comedy",2019,tt1946502,5.1,8024,US
Benedetta,movie,"Biography, Drama, Romance",2021,tt6823148,6.7,26508,"JP, US"
"Help, I Shrunk My Parents",movie,"Action, Adventure, Comedy",2018,tt6818140,5,438,JP
Hamon: Yakuza Boogie,movie,"Comedy, Crime, Drama",2017,tt5126042,5.5,72,JP
Mon Mon Mon Monsters,movie,"Comedy, Drama, Horror",2017,tt6648404,6.3,1755,JP
This Boy Suffers from Crystallization,movie,"Animation, Drama, Romance",2014,tt8505254,6.3,54,JP
Crazy Rich Asians,movie,"Comedy, Drama, Romance",2018,tt3104988,6.9,196085,JP
Ranmaru: Kamino shita wo motsu otoko,movie,Comedy,2016,tt6299262,5.3,24,JP
Kanashii kibun de joke,movie,"Drama, Family",1985,tt0365404,7.1,64,JP
Sekigahara,movie,"Drama, History, War",2017,tt5954284,6.3,924,JP
Yurigokoro,movie,Mystery,2017,tt6289898,6.6,556,JP
Support the Girls,movie,"Comedy, Drama",2018,tt6859352,6.4,8472,US
Birds Without Names,movie,"Drama, Mystery",2017,tt6493644,6.5,917,JP
Cellular Boyfriend +,movie,Horror,2012,tt2380035,6.5,19,JP
Batman & Bill,movie,"Animation, Documentary, Mystery",2017,tt6067832,7.9,2320,US
Kisshô Tennyo,movie,Fantasy,2007,tt0981032,4.3,20,JP
Tôkyô PR Woman,movie,Comedy,2015,tt4569934,5.6,13,JP
Friend Game,movie,Drama,2017,tt6127016,6.4,85,JP
Raia no inori,movie,Drama,2015,tt3873008,8.6,11,JP
The Book Peddler,movie,Drama,2016,,,,JP
Golden Orchestra!,movie,"Comedy, Music",2016,tt5101956,6.5,130,JP
Roppongi banana boys,movie,Comedy,1989,tt0344276,,,JP
The Seven Chefs,movie,Drama,1997,tt0119753,5.6,10,JP
Sakurada Reset Part I,movie,"Drama, Fantasy, Mystery",2017,tt6070832,5.5,124,JP
Hellboy,movie,"Action, Adventure, Fantasy",2019,tt2274648,5.3,102517,JP
Sakurada Reset Part II,movie,"Drama, Fantasy, Mystery",2017,tt6090764,5.4,84,JP
Kamen Rider Ex-Aid: True Ending,movie,"Action, Adventure, Fantasy",2017,tt7098236,7,120,JP
Guns Akimbo,movie,"Action, Comedy, Crime",2019,tt6902676,6.3,71945,JP
Return of the Hero,movie,"Comedy, History",2018,tt7064498,6.5,4646,JP
Brotherhood of Blades 2,movie,"Action, Adventure, Drama",2017,tt7055592,6.6,2287,JP
John Wick: Chapter 3 - Parabellum,movie,"Action, Crime, Thriller",2019,tt6146586,7.4,439150,JP
Vivarium,movie,"Horror, Mystery, Sci-Fi",2019,tt8368406,5.9,78077,JP
Some Kinda Love,movie,"Comedy, Romance",1996,tt0114493,6.2,17,JP
"Juliet, Naked",movie,"Comedy, Drama, Music",2018,tt5607096,6.6,25197,JP
Us,movie,"Horror, Mystery, Thriller",2019,tt6857112,6.8,354219,US
Son of a Gun,movie,Short,2011,tt2053435,,,JP
Charlie's Angels,movie,"Action, Adventure, Comedy",2019,tt5033998,5,81351,US
Mavka: The Forest Song,movie,"Adventure, Animation, Comedy",2023,tt6685538,6.6,6260,US
A Day,movie,"Drama, Mystery, Thriller",2017,tt6890376,6.8,3066,JP
Braven,movie,"Action, Thriller",2018,tt5001754,5.9,42594,JP
Long Shot,movie,"Comedy, Romance",2019,tt2139881,6.8,124008,US
Edie,movie,"Adventure, Drama",2017,tt3823098,6.6,2783,JP
Ghost Squad,movie,"Action, Comedy, Horror",2018,tt7547158,4.7,542,JP
Thomas & Friends: Team Up with Thomas,movie,"Animation, Family, Short",2009,tt3269818,,,JP
Pumpkin and Mayonnaise,movie,Drama,2017,tt6964896,5.7,124,JP
Free! Timeless Medley: The Promise,movie,"Animation, Sport",2017,tt6799518,7,202,JP
Free! Take your Marks,movie,"Animation, Drama, Sport",2017,tt8141908,7.2,274,JP
"Love, Chunibyo & Other Delusions the Movie: Take on Me",movie,"Animation, Comedy, Drama",2018,tt6915208,7.3,1352,JP
Sound! Euphonium the Movie: May the Melody Reach You!,movie,"Animation, Comedy, Drama",2017,tt6973828,7.1,221,JP
Bleeding Steel,movie,"Action, Sci-Fi, Thriller",2017,tt5813366,5.2,11328,JP
Mandy,movie,"Action, Fantasy, Horror",2018,tt6998518,6.5,93190,US
Your Voice -KIMIKOE-,movie,"Animation, Drama, Fantasy",2017,tt7283052,6.3,277,JP
Mumon: The Land of Stealth,movie,"Action, Romance",2017,tt5769414,6.6,2501,JP
Alley Cat,movie,"Comedy, Crime, Drama",2017,tt6347492,6,116,JP
Blank 13,movie,"Drama, Family",2017,tt6640390,6.4,251,JP
MFKZ,movie,"Action, Animation, Comedy",2017,tt4717402,6.7,5270,JP
China Salesman,movie,"Action, Adventure, Thriller",2017,tt6015706,2.7,2014,JP
Digimon Adventure tri. Part 5: Coexistence,movie,"Action, Adventure, Animation",2017,tt5468018,6.8,1005,JP
Marriage,movie,"Drama, Romance",2017,tt6420934,4.6,18,JP
Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!,movie,"Animation, Family, Music",2015,tt6446740,6.8,127,JP
The Peanut Butter Falcon,movie,"Adventure, Comedy, Drama",2019,tt4364194,7.6,109500,JP
Shadow,movie,"Action, Adventure, Fantasy",2018,tt6864046,7,18631,JP
Wonder Woman 1984,movie,"Action, Adventure, Fantasy",2020,tt7126948,5.4,296746,JP
All About Her,movie,Drama,2012,tt2404267,4.6,13,JP
Earth: One Amazing Day,movie,"Documentary, Family",2017,tt6238896,7.8,3163,JP
The Terror of Hallow's Eve,movie,"Drama, Horror, Thriller",2017,tt5183500,5.1,1200,JP
Birthday,movie,"Horror, Short",2017,tt5869246,5.7,35,JP
Tiffany Haddish: She Ready! From the Hood to Hollywood,movie,Comedy,2017,tt6328116,6.6,628,US
The Grudge,movie,"Fantasy, Horror",2019,tt3612126,4.4,30274,US
My Brother Loves Me Too Much,movie,"Drama, Family, Romance",2017,tt6075764,5.7,352,JP
Demon Covered in Scars,movie,"Drama, Romance",2017,tt5643272,6.2,76,JP
Crystal Inferno,movie,"Action, Adventure, Drama",2017,tt4048186,3.7,710,JP
Tomio,movie,Horror,2011,tt2562110,6.5,94,JP
If Beale Street Could Talk,movie,"Drama, Romance",2018,tt7125860,7.1,53100,JP
A Savage Beast Goes Mad,movie,"Action, Crime, Drama",1976,tt0316143,6.9,62,JP
"João, o Maestro",movie,"Biography, Drama, Music",2017,tt6103618,7,340,JP
Rebellious Journey,movie,"Action, Crime",1976,tt10300592,,,JP
Manolo: The Boy Who Made Shoes for Lizards,movie,"Biography, Documentary, Drama",2017,tt5821256,6.4,576,JP
Sparring,movie,"Drama, Sport",2017,tt7222552,6.4,713,JP
Iwasaki Chihiro: 27-sai no tabidachi,movie,Documentary,2012,tt3833738,,,JP
Ozaki shihainin ga naita yoru: Documentary of HKT48,movie,Documentary,2016,tt4818588,7,13,JP
Nihon no fûikusaîchi,movie,Crime,1979,tt6559592,5.5,16,JP
Bara no hyôteki,movie,Action,1980,tt1558727,5.4,21,JP
Scotty and the Secret History of Hollywood,movie,"Biography, Documentary, History",2017,tt2773246,6.7,1865,US
City Hunter,movie,"Action, Comedy, Crime",2018,tt8523334,6.5,5772,JP
Opening Night,movie,Comedy,2017,tt5803374,5.1,8,JP
The Poet and the Boy,movie,Drama,2017,tt7297962,6.4,199,JP
Jane,movie,"Biography, Documentary",2017,tt7207238,7.8,5777,US
Vampire Clay,movie,Horror,2017,tt7026370,5.2,528,JP
Strange But True,movie,"Drama, Mystery, Thriller",2019,tt2866708,5.9,5793,JP
Mottomo abunai deka,movie,Action,1989,tt1548611,4.2,42,JP
Suburban Cowboy,movie,"Crime, Thriller",2016,tt5161080,6.3,119,JP
Kataomoi Spiral,movie,Romance,2016,tt5514602,6.8,8,JP
Motorrad,movie,"Horror, Thriller",2017,tt5958060,4.6,394,JP
Greta,movie,"Drama, Mystery, Thriller",2018,tt2639336,6.1,39626,US
Charlie Says,movie,"Biography, Crime, Drama",2018,tt1759744,5.9,5558,JP
Treasure Hounds,movie,Family,2017,tt6400674,3.6,233,JP
Narratage,movie,"Drama, Romance",2017,tt5883020,5.4,333,JP
Torakku yarô: Bôkyô Ichibanboshi,movie,Action,1976,tt0360089,6.6,52,JP
Torakku yarô: tenka gomen,movie,Action,1976,tt0360094,6.4,34,JP
Torakku yarô: Dokyô ichibanboshi,movie,Action,1977,tt0360086,6.6,50,JP
Torakku yarô: Otoko ippiki momojirô,movie,Action,1977,tt0360092,6.5,40,JP
The Tag-Along 2,movie,"Horror, Thriller",2017,tt6295898,5.7,1259,JP
Trucker Yaro VII: Another Odyssey of Momojiro,movie,"Action, Adventure, Comedy",1978,tt0360093,6.4,37,JP
Torakku yarô: Ichiban hoshi kita e kaeru,movie,Action,1978,tt0360090,6.8,29,JP
Trucker Yaro IX: A 5000 Km Run,movie,"Action, Adventure, Comedy",1979,tt0360091,7,26,JP
Wetlands,movie,"Crime, Drama, Thriller",2017,tt5565254,4.4,638,US
Teen Titans GO! To the Movies,movie,"Action, Adventure, Animation",2018,tt7424200,6.7,22232,US
To Each His Own,movie,Drama,2017,tt5922578,6.7,734,JP
Poetry Angel,movie,Drama,2016,tt5436780,6.3,30,JP
Tempting Devils,movie,"Comedy, Drama, Romance",2018,tt5509412,5.3,372,JP
The Music of Silence,movie,"Biography, Drama, Music",2017,tt3244786,6.6,2348,JP
Yakuza Ladies 2,movie,"Crime, Drama",1987,tt0225882,5.9,43,JP
Yakuza Ladies 3,movie,"Drama, Crime",1989,tt0225884,5.7,30,JP
Yakuza Ladies: The Final Battle,movie,"Action, Crime",1990,tt0225883,6.4,33,JP
Yakuza Ladies Revisited: Love Is Hell,movie,Action,1994,tt0226441,5.7,11,JP
Yakuza Ladies: Decision,movie,"Crime, Drama",1998,tt0327789,4.5,30,JP
Yakuza Ladies 6,movie,,1996,tt0327790,5.3,13,JP
Soreike! Anpanman: Ririkaru majikaru mahô no gakkô,movie,"Adventure, Animation, Family",1994,tt1189083,,,JP
Soreike! Anpanman: Roll to Laura Ukigumo-jô no Himitsu,movie,"Adventure, Animation, Family",2002,tt20834228,,,JP
Tell It to the Bees,movie,"Drama, Romance",2018,tt7241926,6.5,7185,US
Yakuza Ladies Revisited,movie,Action,1991,tt0226439,6,37,JP
Yakuza Ladies Revisited 2,movie,Drama,1993,tt0226440,5.9,14,JP
Soreike! Anpanman: Tobase! Kibou no hankachi,movie,Animation,2013,tt3852432,,,JP
Death Row Family,movie,"Comedy, Crime, Drama",2017,tt6598202,5.5,81,JP
Maquia: When the Promised Flower Blooms,movie,"Adventure, Animation, Drama",2018,tt7339826,7.4,8951,JP
Infini-T Force the Movie: Farewell Gatchaman My Friend,movie,"Action, Animation",2018,tt9072902,6.4,53,JP
Shock and Awe,movie,"Biography, Drama, History",2017,tt5540992,6.4,8918,JP
Bergman Island,movie,"Comedy, Drama, Romance",2021,tt6910282,6.6,10468,US
The Miracles of the Namiya General Store,movie,"Drama, Fantasy",2017,tt6298600,6.7,1645,JP
Ultraman Ginga: Theater Special,movie,"Adventure, Sci-Fi",2013,tt3019994,6.4,31,JP
"Westwood: Punk, Icon, Activist",movie,"Biography, Documentary, History",2018,tt4378628,6.2,1185,JP
Proxima,movie,"Adventure, Drama, Sci-Fi",2019,tt7374926,6.3,9263,JP
The Limit of Sleeping Beauty,movie,Drama,2017,tt7112158,5.8,209,JP
Hard-Core,movie,"Comedy, Drama",2018,tt7246942,6,314,JP
Journal 64,movie,"Crime, Mystery, Thriller",2018,tt6916362,7.4,20233,JP
Kamen Rider Heisei Generations Final: Build & Ex-Aid with Legend Riders,movie,"Action, Adventure, Fantasy",2017,tt7472924,7.4,155,JP
Men in Black: International,movie,"Action, Adventure, Comedy",2019,tt2283336,5.6,150602,US
Girls of the Sun,movie,"Drama, War",2018,tt6704880,6.5,2877,JP
The Outlaws,movie,"Action, Crime, Thriller",2017,tt7468056,7.2,14053,JP
47 Meters Down: Uncaged,movie,"Adventure, Drama, Horror",2019,tt7329656,5,31681,JP
The Curse of La Llorona,movie,"Horror, Mystery, Thriller",2019,tt4913966,5.3,59584,US
Dreamland,movie,"Drama, Thriller, Western",2019,tt5294522,5.9,8621,JP
Bullet Head,movie,"Crime, Drama, Thriller",2017,tt6204340,5.4,11481,JP
The Lady in the Portrait,movie,"Drama, Romance",2017,tt4961016,6,122,JP
Radioactive,movie,"Biography, Drama, Romance",2019,tt6017756,6.3,22414,JP
Don't Lose Heart,movie,Drama,2013,tt2727318,7.1,23,JP
Digimon Adventure tri. Part 6: Future,movie,"Action, Adventure, Animation",2018,tt5468022,7,988,JP
Die in a Gunfight,movie,"Action, Comedy, Crime",2021,tt1697800,4.5,3630,US
Too Funny to Fail: The Life & Death of The Dana Carvey Show,movie,Documentary,2017,tt7544820,7.7,1956,US
Eiga majime ni fumajime kaiketsu zorori: Nazo no otakara daisakusen,movie,"Animation, Family",2006,tt15757512,,,JP
Kids on the Slope,movie,Drama,2018,tt6835804,6.7,827,JP
Liz and the Blue Bird,movie,"Animation, Drama, Fantasy",2018,tt7089878,7.1,2448,JP
Intrigo: Death of an Author,movie,"Crime, Drama, Mystery",2018,tt6341066,5.9,2098,US
Intrigo: Dear Agnes,movie,"Crime, Drama, Mystery",2019,tt6341086,5.2,549,US
Intrigo: Samaria,movie,"Crime, Drama, Mystery",2019,tt6341108,5.4,435,US
The Miracle of Crybaby Shottan,movie,Drama,2018,tt7268368,6.8,134,JP
Cinderella Game,movie,"Drama, Thriller",2016,tt5980818,4.8,58,JP
Vision,movie,Drama,2018,tt7566518,5.2,866,JP
"When I Get Home, My Wife Always Pretends to Be Dead.",movie,"Comedy, Drama",2018,tt6939372,6.3,955,JP
The Wolf Hour,movie,"Drama, Mystery, Thriller",2019,tt5342950,4.9,3433,JP
Uchu Sentai Kyuranger: The Geth Indaver's Counterattack,movie,"Action, Fantasy, Sci-Fi",2017,tt7094438,6.9,21,JP
R:B - Blaze,movie,Animation,2018,tt8515024,7,28,JP
